t,throttle,steering,x,y,v_x,v_y,U,V,roll,pitch,yaw,p,q,r
8.9,0.34145841002464294,-0.0964132770895958,16.046709060668945,2.2935895919799805,2.650460958480835,0.1635865569114685,2.654657183519749,-0.06707527130238713,0.049382879468200865,0.006434037226979267,4.979203242882669,0.006178156938403845,-0.006687397602945566,-4.213962078094482
9.0,0.34145841002464294,-0.09724052250385284,16.341821670532227,2.309231758117676,2.6557247638702393,0.14182792603969574,2.658634852282154,-0.06819020654763241,0.04987261050333105,0.005826150035827998,4.5261875706856,0.0061171031557023525,-0.0018695252947509289,-3.935481309890747
9.1,0.34145841002464294,-0.09781696647405624,16.575231552124023,2.319852828979492,2.6609084606170654,0.12458516657352448,2.662934155346192,-0.06882574957309817,0.05022355585862574,0.005819320619991983,4.161189068295011,0.005901312921196222,-0.0029254495166242123,-4.058391571044922
9.200000000000001,0.34145841002464294,-0.0981411263346672,16.866323471069336,2.330925941467285,2.6668291091918945,0.10315767675638199,2.667929964110449,-0.06905585064734514,0.050588130334459344,0.005771508619838129,3.697892569146342,0.0025576131884008646,-0.006029308307915926,-4.377614974975586
9.3,0.34145841002464294,-0.09821216762065887,17.159841537475586,2.339710235595703,2.672346830368042,0.08140245079994202,2.672678354582294,-0.06967319227392003,0.05078132815625902,0.0056212449509314855,3.2380362914474383,0.0025012660771608353,-0.003941484726965427,-4.090582370758057
9.4,0.34145841002464294,-0.09802990406751633,17.39372444152832,2.344985008239746,2.6764674186706543,0.06417327374219894,2.6763271894040814,-0.06977698420538632,0.050827841627624874,0.005518791882998557,2.8669820449674157,0.0016354930121451616,-0.00194383948110044,-3.9459729194641113
9.5,0.34145841002464294,-0.09759481251239777,17.688289642333984,2.349477767944336,2.681317090988159,0.04273999109864235,2.6807582860397203,-0.06944826199192064,0.050755391933469146,0.005389018254397038,2.3971970782535013,-0.0017088187159970403,-0.007527881767600775,-4.217584133148193
9.600000000000001,0.34145841002464294,-0.09690800309181213,17.93020248413086,2.3514232635498047,2.682758331298828,0.025313671678304672,2.6819871383523104,-0.06912333788161742,0.05045985142882358,0.004719660649726628,2.0169766926111254,-0.003429828677326441,-0.007305730599910021,-4.410876750946045
9.700000000000001,0.34145841002464294,-0.0959712490439415,18.225616455078125,2.351677894592285,2.6877784729003906,0.003976324573159218,2.6868927936387688,-0.06910894324124628,0.05015704103714378,0.004897245252048423,1.5581303904444088,-0.0021407243330031633,-0.0013305676402524114,-4.0090179443359375
9.8,0.34145841002464294,-0.09478697925806046,18.522186279296875,2.349599838256836,2.691455602645874,-0.01690801978111267,2.6906446402424726,-0.06819502973999415,0.04970863948208349,0.004835773363804904,1.0919307118229193,-0.004258251748979092,-0.004308253992348909,-4.269863128662109
9.9,0.34145841002464294,-0.09335823357105255,18.76047134399414,2.346311569213867,2.6941092014312744,-0.033278848975896835,2.6934703455299553,-0.0674490087144607,0.04916603709023378,0.0047538113905049315,0.7267752319282583,-0.006333186291158199,-0.004675378557294607,-4.3567633628845215
10.0,0.34145841002464294,-0.09168870747089386,19.057559967041016,2.3402137756347656,2.697741985321045,-0.05359489843249321,2.6974458114558333,-0.06686050225135809,0.04847816302041469,0.00475381069991888,0.2817553747762851,-0.005829926114529371,-0.001394078484736383,-3.828903913497925
10.100000000000001,0.34145841002464294,-0.0897827073931694,19.296829223632812,2.333711624145508,2.699906826019287,-0.06936810165643692,2.6999961708798987,-0.06579878377935491,0.047824088144322645,0.00462403768781861,-0.07574462742411872,-0.00848833005875349,-0.003900636453181505,-3.619044780731201
10.200000000000001,0.34145841002464294,-0.08764513581991196,19.599584579467773,2.323544502258301,2.7011210918426514,-0.08879376202821732,2.7018201704667315,-0.06408784152615465,0.046672142931743155,0.004166415159578243,-0.5239868579311295,-0.009090647101402283,-0.0017512972699478269,-4.030859470367432
10.3,0.34145841002464294,-0.08528152108192444,19.838703155517578,2.3140087127685547,2.7036209106445312,-0.10372330248355865,2.7048811028838005,-0.06279148998529868,0.04587709378458756,0.004309849345834091,-0.867218067105502,-0.012255342677235603,-0.0025946178939193487,-4.002839088439941
10.4,0.34145841002464294,-0.08269794285297394,20.137195587158203,2.3003644943237305,2.7064568996429443,-0.12183677405118942,2.7085012541350006,-0.061433748747953675,0.044556351307067345,0.004425962196710656,-1.2781982011338802,-0.010993869043886662,0.0006747692241333425,-3.4800021648406982
10.5,0.34145841002464294,-0.0799010843038559,20.436046600341797,2.2847671508789062,2.7086827754974365,-0.13917121291160583,2.711606791941037,-0.05932630680417324,0.043223299562811485,0.004419131716542439,-1.6878970102102637,-0.01225891150534153,-0.003987157717347145,-3.6960806846618652
10.600000000000001,0.34145841002464294,-0.07689814269542694,20.682403564453125,2.2705307006835938,2.7088496685028076,-0.1525769978761673,2.712538121005407,-0.057299292501136176,0.0420311465950037,0.003934188501374068,-2.0136720310252727,-0.021454254165291786,-0.01608860306441784,-4.419685363769531
10.700000000000001,0.34145841002464294,-0.07369687408208847,20.98115348815918,2.251728057861328,2.7117602825164795,-0.1686713993549347,2.7164321370932543,-0.055590604972278246,0.04041771621701426,0.004180075658828956,-2.3868406832227453,-0.01643536612391472,-0.012447384186089039,-3.316084861755371
10.8,0.34145841002464294,-0.07030552625656128,21.22221565246582,2.2353382110595703,2.7123706340789795,-0.1806703507900238,2.717853048239296,-0.05358209071099779,0.0390893659277974,0.003927358127252952,-2.6813966825447504,-0.017496401444077492,0.0019471399718895555,-3.0183629989624023
10.9,0.34145841002464294,-0.06673285365104675,21.521751403808594,2.2136011123657227,2.7145042419433594,-0.19475877285003662,2.7210084887751167,-0.05076478251997102,0.03711556655251729,0.004111773715726004,-3.0349735744268442,-0.01672227308154106,-0.0016943712253123522,-3.059648036956787
11.0,0.34145841002464294,-0.06298806518316269,21.76679039001465,2.194734573364258,2.714444637298584,-0.2053695023059845,2.721771585060022,-0.048433048596034506,0.03556919517951603,0.003742943202868635,-3.3071899294346703,-0.020702816545963287,-0.0009875991381704807,-3.051017999649048
11.100000000000001,0.34145841002464294,-0.059080820530653,22.067453384399414,2.1704139709472656,2.716709613800049,-0.2178320437669754,2.7250414724572387,-0.04594451429050586,0.0333904626080535,0.003981999675928621,-3.6183781461325304,-0.01772461086511612,0.0015167793026193976,-2.4470245838165283
11.200000000000001,0.34145841002464294,-0.05502120032906532,22.373117446899414,2.14437198638916,2.716996431350708,-0.22937995195388794,2.7263255600360643,-0.04282185218893325,0.03132834322304263,0.0037019616248147764,-3.9258414328519504,-0.018716152757406235,0.0003077281580772251,-2.833446502685547
